Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Region,IncomeGroup
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.0,1245810056.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722905028.0,1873452514.0,1896456983.0,1961843575.0,2044111732.0,2254830726.0,2360017318.0,2469782682.0,2677641341.0,2843024581.0,2553793296.0,2453597207.0,2637859218.0,2615208380.0,2727849721.0,2790849721.0,2962907263.0,2983635196.0,3092429050.0,3276184358.0,3395798883.0,2558906304.0,3103184102.0,3544707788.0,3598637023.0,Latin America & Caribbean,High income
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060.0,2813571754.0,3825701439.0,4520946819.0,5224896719.0,6203256539.0,6971758282.0,9747886187.0,10109297048.0,12416152732.0,15856668556.0,17805098206.0,19907329778.0,20146416758.0,20497128556.0,19134221645.0,18116572395.0,18753456498.0,18053222687.0,18799444490.0,19955929052.0,14266499430.0,14502158192.0,22624199318.0,South Asia,Low income
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880000000.0,4432026144.0,5538657322.0,6535458385.0,7675423799.0,6506387247.0,6152923310.0,9129594970.0,8936079118.0,15285592370.0,17812704586.0,23552057679.0,36970900884.0,52381025141.0,65266415494.0,88538665085.0,70307196182.0,83799474070.0,112000000000.0,128000000000.0,132000000000.0,136000000000.0,90496420507.0,52761617226.0,73690154991.0,79450688259.0,70897962732.0,48501561204.0,66505129988.0,104000000000.0,84722957642.0,Sub-Saharan Africa,Lower middle income
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1857337995.0,1897050117.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880950864.0,2392764853.0,3199640815.0,2258513974.0,2545964541.0,3212121651.0,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077248.0,8896075005.0,10677324853.0,12881352894.0,12044205550.0,11926926616.0,12890760315.0,12319834195.0,12776224497.0,13228147516.0,11386853113.0,11861199831.0,13019726212.0,15156424015.0,15401826127.0,15162734205.0,17930565119.0,18916378861.0,22977677861.0,Europe & Central Asia,Upper middle income
Andorra,AND,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082.0,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582.0,1028989692.0,1106891362.0,1209992020.0,1007090270.0,1017544069.0,1178745283.0,1224024139.0,1180645572.0,1211953994.0,1240295103.0,1432606189.0,1548265808.0,1764279824.0,2366941809.0,2900245324.0,3161084091.0,3459337986.0,3957625367.0,4102319399.0,3688976341.0,3449925739.0,3629133574.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,3324683012.0,3380602043.0,3727673593.0,Europe & Central Asia,High income
United Arab Emirates,ARE,,,,,,,,,,,685986701.3,939893599.6,1415086929.0,4231243616.0,11651505690.0,14720728249.0,19213158779.0,24871775165.0,23775764225.0,31225659621.0,43599160050.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104000000000.0,103000000000.0,110000000000.0,124000000000.0,148000000000.0,181000000000.0,222000000000.0,258000000000.0,315000000000.0,254000000000.0,300000000000.0,361000000000.0,385000000000.0,400000000000.0,414000000000.0,370000000000.0,369000000000.0,391000000000.0,427000000000.0,418000000000.0,349000000000.0,415000000000.0,507000000000.0,504000000000.0,Middle East & North Africa,High income
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,109000000000.0,113000000000.0,88416666667.0,106000000000.0,109000000000.0,127000000000.0,76629657864.0,141000000000.0,190000000000.0,229000000000.0,237000000000.0,257000000000.0,258000000000.0,272000000000.0,293000000000.0,299000000000.0,284000000000.0,284000000000.0,269000000000.0,97724004252.0,128000000000.0,165000000000.0,199000000000.0,233000000000.0,288000000000.0,362000000000.0,333000000000.0,424000000000.0,530000000000.0,546000000000.0,552000000000.0,526000000000.0,595000000000.0,558000000000.0,644000000000.0,525000000000.0,448000000000.0,386000000000.0,488000000000.0,631000000000.0,641000000000.0,Latin America & Caribbean,Upper middle income
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863449.0,2069870130.0,1272835453.0,1201312829.0,1315158637.0,1468317435.0,1596968946.0,1639492445.0,1893726437.0,1845482173.0,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469511.0,6384452067.0,9206301270.0,11662040714.0,8647937081.0,9260285756.0,10142111825.0,10619320683.0,11121464437.0,11609513247.0,10553337518.0,10546136236.0,11527458709.0,12457940695.0,13619290539.0,12641698583.0,13878908629.0,19513474648.0,24212134631.0,Europe & Central Asia,Upper middle income
American Samoa,ASM,,,,,,,,,,,,,,,,159640671.5,171627033.9,184012947.2,197246123.9,210101382.6,220352119.8,231188583.4,244582269.4,259351090.6,274860309.5,288309761.1,298867348.2,301791988.0,316057262.7,331017794.1,340810654.2,352411084.3,364843932.5,375990512.7,388700253.6,406895360.1,422298923.5,436937787.3,445842729.9,454080097.8,454984415.6,468414285.7,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,763871428.6,East Asia & Pacific,High income
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,77496296.3,88033333.33,109585185.2,132440740.7,149377777.8,166425925.9,184848148.1,212192592.6,246344444.4,297537037.0,346840740.7,411374074.1,455148148.1,478692592.6,504307407.4,525103703.7,565633333.3,625051851.9,616014814.8,679111111.1,734392592.6,789762963.0,835514814.8,900551851.9,877514814.8,897988888.9,947955555.6,1026181481.0,1143714815.0,1303548148.0,1487300000.0,1557540741.0,1386444444.0,1298255556.0,1281337037.0,1327107407.0,1325425926.0,1378829630.0,1437755556.0,1489692593.0,1531151852.0,1661529630.0,1725351852.0,1410796296.0,1601366667.0,1867733333.0,2033085185.0,Latin America & Caribbean,High income
